context,question,answer
"Microplastics | Microplastics are small plastic particles in the environment. While there is some contention over their size, the U.S. National Oceanic & Atmospheric Administration classifies microplastics as less than 5 mm in diameter. They can come from a variety of sources, including cosmetics, clothing, and industrial processes.",What common cosmetic product is a source of microplastics?,Exfoliants
"Perchlorate | A perchlorate is the name for a chemical compound containing the perchlorate ion, ClO4− . The preponderance of perchlorates are produced commercially. Perchlorate salts are mainly used for propellants, exploiting properties as powerful oxidizing agents. Perchlorate contamination in the environment has been extensively studied as it has effects on human health. Perchlorate has been linked to its negative influence on the thyroid gland.",What gland is affected by perchlorate contamination?,Thyroid
"Methyl perchlorate | Methyl perchlorate is an organic chemical compound. Like many other perchlorates, it is a high energy material. It is also a toxic alkylating agent and exposure to the vapor can cause death. It can be prepared by treating iodomethane with a solution of silver perchlorate in benzene.",What is a toxic effect of methyl perchlorate?,Death
Ammonium sulfate precipitation | Ammonium sulfate precipitation is one of the most commonly used methods for large and laboratory scale protein purification and fractionation that can be used to separate proteins by altering their solubility in the presence of a high salt concentration.,What common agricultural use of ammonium sulfate can lead to water pollution?,Fertilizer
"Sulfate crust | Sulfate crust is a zone observed in the axial (central) parts of burning coal dumps and related sites. It is a zone built mainly by anhydrous sulfate minerals, such as godovikovite and millosevichite. The outer zone can easily be hydrated giving rise to minerals like tschermigite and alunogen. The zone forms due to interaction with hot (even around 600 °C) coal-derived gases (mainly NH and SO) with the ""sterile"" material (i.e. shales and other rocks serving as the source of Al, Fe, Ca and other cations) in case of the lack of vents for the gases to escape into the atmosphere.",What are the main minerals found in sulfate crust?,Anhydrous sulfates
"Trihalomethane | Trihalomethanes (THMs) are chemical compounds in which three of the four hydrogen atoms of methane (CH) are replaced by halogen atoms. Many trihalomethanes find uses in industry as solvents or refrigerants. THMs are also environmental pollutants, and many are considered carcinogenic. Trihalomethanes with all the same halogen atoms are called haloforms. Several of these are easy to prepare through the haloform reaction.",What are the chemical compounds called that are formed when three hydrogen atoms of methane are replaced by halogens?,Trihalomethanes
Trifluoronitrosomethane | Trifluoronitrosomethane (commonly abbreviated TFNM) is a toxic halomethane. Its distinctive deep blue colour is unusual for a gas.,What color is Trifluoronitrosomethane?,Deep blue
"Legionella feeleii | Legionella feeleii is a Gram-negative, rod-shaped bacterium from the genus ""Legionella"" which was isolated from an automobile plant and which was held responsible for causing Pontiac fever in 317 workers. The organism did not grow on blood agar, required L-cysteine, and showed significant quantities of branched-chain fatty acids. More recently, an unusual, extrapulmonary case was described in a 66-year-old woman admitted to Hopital Nord, Marseille, France because of a complicated cellulitis and an abscess on her right leg following a suspected insect or spider bite.",What disease is caused by the bacterium Legionella feeleii?,Pontiac fever
"Candidatus Legionella jeonii | ""Candidatus"" Legionella jeonii is a ""candidatus"" bacterium from the genus ""Legionella"". Previously known as X-bacterium""', ""Candidatus"" Legionella jeonii grows symbiotically in ""Amoeba proteus"". This endosymbiotic relationship was first noticed by Kuang Jeon in 1966.","Which organism does ""Candidatus"" Legionella jeonii grow symbiotically with?",Amoeba proteus
Chromium toxicity | Chromium toxicity refers to the fact that chromium is toxic.,What is the most toxic form of chromium?,Hexavalent chromium
"Hinkley groundwater contamination | Hinkley groundwater contamination refers to Pacific Gas and Electric Company (PG&E) dumping ""roughly 370 million gallons"" of chromium-tainted wastewater"" into unlined wastewater spreading ponds around the town of Hinkley, California, located in the Mojave Desert (about 121 miles driving distance north-northeast of Los Angeles), from 1952 to 1966 and the ongoing process of restitution and clean-up. PG&E used chromium 6—""one of the cheapest and most efficient commercially available"" rust suppressors—in their compressor station for natural gas transmission pipelines. Just north of California State Highway 58, the residents continue to face concerns over chromium-6 in their well water from the world's largest plume of this cancer-causing chemical.",What toxic chemical was primarily responsible for the Hinkley groundwater contamination?,Chromium-6
"Nanoremediation | Nanoremediation is the use of nanoparticles for environmental remediation. It is being explored to treat ground water, wastewater, soil, sediment, or other contaminated environmental materials.",What technology uses nanoparticles for environmental cleanup?,Nanoremediation
"Iron nanoparticle | Nanoscale iron particles are sub-micrometer particles of iron metal. They are highly reactive because of their large surface area. In the presence of oxygen and water, they rapidly oxidize to form free iron ions. They are widely used in medical and laboratory applications and have also been studied for remediation of industrial sites contaminated with chlorinated organic compounds.",What type of compounds are iron nanoparticles used to remediate?,Chlorinated organics
"Health impact of asbestos | All types of asbestos fibers are known to cause serious health hazards in humans. Amosite and crocidolite are considered the most hazardous asbestos fiber types; however, chrysotile asbestos has also produced tumors in animals and is a recognized cause of asbestosis and malignant mesothelioma in humans, and mesothelioma has been observed in people who were occupationally exposed to chrysotile, family members of the occupationally exposed, and residents who lived close to asbestos factories and mines.",Which type of asbestos is most hazardous?,Amosite
"Aramid | Aramid fibers are a class of heat-resistant and strong synthetic fibers. They are used in aerospace and military applications, for ballistic-rated body armor fabric and ballistic composites, in bicycle tires, and as an asbestos substitute. The name is a portmanteau of ""aromatic polyamide"". They are fibers in which the chain molecules are highly oriented along the fiber axis, so the strength of the chemical bond can be exploited.",What type of pollution is primarily associated with the disposal of synthetic fibers like aramid?,Microplastic pollution
"2000 Baia Mare cyanide spill | The 2000 Baia Mare cyanide spill was a leak of cyanide near Baia Mare, Romania, into the Someş River by the gold mining company Aurul, a joint-venture of the Australian company Esmeralda Exploration and the Romanian government.",What year did the Baia Mare cyanide spill occur?,2000
"Gold cyanidation in Romania | Gold cyanidation in Romania was used for decades, but the process came into debate following the 2000 Baia Mare cyanide spill and proposal of the Roșia Montană Project, which would create the largest operation for gold extraction using cyanides in Europe.",What toxic substance is used in gold extraction that raised pollution concerns in Romania?,Cyanide
"Cold seep | A cold seep (sometimes called a cold vent) is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool. ""Cold"" does not mean that the temperature of the seepage is lower than that of the surrounding sea water. On the contrary, its temperature is often slightly higher. The ""cold"" is relative to the very warm (at least 60 C ) conditions of a hydrothermal vent. Cold seeps constitute a biome supporting several endemic species.",What are areas of the ocean floor where hydrocarbons seep out called?,Cold seeps
"Coal Oil Point seep field | The Coal Oil Point seep field offshore from Santa Barbara, California is a petroleum seep area of about three square kilometres, adjacent to the Ellwood Oil Field, and releases about 40 tons of methane per day and about 19 tons of reactive organic gas (ethane, propane, butane and higher hydrocarbons), about twice the hydrocarbon air pollution released by all the cars and trucks in Santa Barbara County in 1990. The liquid petroleum produces a slick that is many kilometres long and when degraded by evaporation and weathering, produces tar balls which wash up on the beaches for miles around.",What type of gas is released daily by the Coal Oil Point seep field?,Methane
"Radium Mine | Radium Mine is the title of a painting made by Canadian artist A.Y. Jackson when he visited the mine-site of the isolated Radium mine at Port Radium, NWT, in 1938.",What radioactive element was mined at Port Radium?,Radium
"Radium, Colorado | Radium is a small rural unincorporated community in southwestern Grand County, Colorado, United States. The community sits in the mountains along an isolated stretch of Colorado River downstream from Gore Canyon and southwest of Kremmling. The mainline of the Denver and Rio Grande Western Railroad (now the Union Pacific Railroad) runs past the community, which is accessible by dirt and gravel roads only. The community of Radium consists of a cluster of houses on the north side of a bridge on the Colorado. The primary local industry is livestock ranching. The community is named for the element radium, which was formerly mined in Colorado in the early 20th century. .","What radioactive element was historically mined in Colorado, contributing to local pollution issues?",Radium
Dichloramine | Dichloramine is a reactive inorganic compound. It has the formula N H Cl . The yellow gas is unstable and reacts with many materials. It is formed by a reaction between ammonia and chlorine or sodium hypochlorite. It is a byproduct formed during the synthesis of chloramine and nitrogen trichloride.,What is the chemical formula of dichloramine?,NHCl
"Nitrogen trichloride | Nitrogen trichloride, also known as trichloramine, is the chemical compound with the formula NCl. This yellow, oily, pungent-smelling liquid is most commonly encountered as a byproduct of chemical reactions between ammonia-derivatives and chlorine (for example, in swimming pools).",What is the common setting where nitrogen trichloride is produced?,Swimming pools
"Giardia lamblia | Giardia lamblia, also known as Giardia intestinalis, is a flagellated parasite that colonizes and reproduces in the small intestine, causing giardiasis. The parasite attaches to the epithelium by a ventral adhesive disc, and reproduces via binary fission. Giardiasis does not spread via the bloodstream, nor does it spread to other parts of the gastrointestinal tract, but remains confined to the lumen of the small intestine. ""Giardia"" trophozoites absorb their nutrients from the lumen of the small intestine, and are anaerobes. If the organism is split and stained, its characteristic pattern resembles the familiar ""smiley face"" symbol. Chief pathways of human infection include ingestion of untreated sewage, a phenomenon particularly common in many developing countries; contamination of natural waters also occurs in watersheds where intensive grazing occurs.",What is the primary way humans become infected with Giardia lamblia?,Contaminated water
"Giardia | Giardia ( or ) is a genus of anaerobic flagellated protozoan parasites of the phylum Sarcomastigophora that colonise and reproduce in the small intestines of several vertebrates, causing giardiasis. Their life cycle alternates between a swimming trophozoite and an infective, resistant cyst. ""Giardia"" were first described by the Dutch microscopist Antonie van Leeuwenhoek in 1681. The genus is named after French zoologist Alfred Mathieu Giard.",What common material is a major contributor to ocean pollution?,Plastic
"Atrazine | Atrazine is an herbicide of the triazine class. Atrazine is used to prevent pre- and postemergence broadleaf weeds in crops such as maize (corn) and sugarcane and on turf, such as golf courses and residential lawns. It is one of the most widely used herbicides in US and Australian agriculture. It was banned in the European Union in October 2003, when the EU found groundwater levels exceeding the limits set by regulators, and Syngenta could neither show that this could be prevented nor that these levels were safe.",What herbicide was banned in the EU due to groundwater contamination?,Atrazine
"Atrazine chlorohydrolase | Atrazine Chlorohydrolase (AtzA) is an enzyme (E.C.3.8.1.8), which catalyzes the conversion of atrazine to hydroxyatrazine. Bacterial degradation determines the environmental impact and efficacy of an herbicide or pesticide. Initially, most pesticides are highly effective and show minimal bacterial degradation; however, bacteria can rapidly evolve and gain the ability to metabolize potential nutrients in the environment. Despite a remarkable structural similarity, degradation of atrazine by bacteria capable of melamine degradation was rare; however, since its introduction as a pesticide in the United States, bacteria capable of atrazine degradation have evolved. Currently, ""Pseudomonas"" sp. strain ADP seems to be the optimal bacterial strain for atrazine degradations, which appears to be the sole nitrogen source for the bacteria.",What enzyme is responsible for the breakdown of atrazine in bacteria?,AtzA
"Bisphenol A | Bisphenol A (BPA) is an organic synthetic compound with the chemical formula (CH)C(CHOH) belonging to the group of diphenylmethane derivatives and bisphenols, with two hydroxyphenyl groups. It is a colorless solid that is soluble in organic solvents, but poorly soluble in water. It has been in commercial use since 1957.",What common plastic product often contains Bisphenol A?,Water bottles
"Bisphenol S | Bisphenol S (BPS) is an organic compound with the formula (HOCH)SO. It has two phenol functional groups on either side of a sulfonyl group. It is commonly used in curing fast-drying epoxy resin adhesives. It is a bisphenol, and a close analog of bisphenol A (BPA) in which the dimethylmethylene group (C(CH)) is replaced with a sulfone group (SO).",What common product often contains Bisphenol S?,Epoxy resin
"Cadmium poisoning | Cadmium is an extremely toxic metal commonly found in industrial workplaces. Due to its low permissible exposure limit, overexposures may occur even in situations where trace quantities of cadmium are found. Cadmium is used extensively in electroplating, although the nature of the operation does not generally lead to overexposures. Cadmium is also found in some industrial paints and may represent a hazard when sprayed. Operations involving removal of cadmium paints by scraping or blasting may pose a significant hazard. Cadmium is also present in the manufacturing of some types of batteries. Exposures to cadmium are addressed in specific standards for the general industry, shipyard employment, construction industry, and the agricultural industry.",What is a common use of cadmium in industry?,Electroplating
"Itai-itai disease | Itai-itai disease (イタイイタイ病 , itai-itai byō , ""it hurts-it hurts disease"") was the name given to the mass cadmium poisoning of Toyama Prefecture, Japan, starting around 1912. The term """"itai-itai"" disease"" was coined by locals for the severe pains (Japanese: 痛い ""itai"") victims felt in the spine and joints. Cadmium poisoning can also cause softening of the bones and kidney failure. The cadmium was released into rivers by mining companies in the mountains, which were successfully sued for the damage. Itai-itai disease is known as one of the Four Big Pollution Diseases of Japan.",What metal caused Itai-itai disease?,Cadmium
"Ash pond | An ash pond is an engineered structure for the disposal of bottom ash and fly ash. The wet disposal of ash into ash ponds is the most common ash disposal method, but other methods include dry disposal in landfills. Dry-handled ash is often recycled into useful building materials. Wet disposal has been preferred due to economic reasons, but increasing environmental concerns regarding leachate from ponds has decreased the popularity of wet disposal. The wet method consists of constructing a large ""pond"" and filling it with fly ash slurry, allowing the water to drain and evaporate from the fly ash over time. Ash ponds are generally formed using a ring embankment to enclose the disposal site. The embankments are designed using similar design parameters as embankment dams, including zoned construction with clay cores. The design process is primarily focused on handling seepage and ensuring slope stability.",What is the main environmental concern associated with the wet disposal method of ash in ash ponds?,Leachate pollution
"Kingston Fossil Plant coal fly ash slurry spill | The TVA Kingston Fossil Plant coal fly ash slurry spill occurred just before 1 a.m. on Monday December 22, 2008, when an ash dike ruptured at an 84 acre solid waste containment area at the Tennessee Valley Authority's Kingston Fossil Plant in Roane County, Tennessee. 1.1 e9USgal of coal fly ash slurry was released. The coal-fired power plant, located across the Clinch River from the city of Kingston, uses ponds to dewater the fly ash, a byproduct of coal combustion, which is then stored in wet form in dredge cells. The slurry (a mixture of fly ash and water) traveled across the Emory River and its Swan Pond embayment, on to the opposite shore, covering up to 300 acre of the surrounding land, damaging homes and flowing up and down stream in nearby waterways such as the Emory River and Clinch River (tributaries of the Tennessee River). It was the largest fly ash release in United States history.",What was the volume of the coal fly ash slurry released during the TVA Kingston Fossil Plant spill in 2008?,1.1 billion gallons
"Haloacetic acids | Haloacetic acids are carboxylic acids in which a halogen atom takes the place of a hydrogen atom in acetic acid. Thus, in a monohaloacetic acid, a single halogen would replace a hydrogen atom. For example, chloroacetic acid would have the structural formula CHClCOH. In the same manner, in dichloroacetic acid two chlorine atoms would take the place of two hydrogen atoms (CHClCOH). The inductive effect caused by the electronegative halogens often result in the higher acidity of these compounds by stabilising the negative charge of the conjugate base.",What is the primary effect of halogen substitution on haloacetic acids?,Increased acidity
"Tribromoacetic acid | Tribromoacetic acid is the chemical compound with the formula CBrCOH. It is one of the haloacetic acids, but much less encountered and used than the closely related trichloroacetic and trifluoroacetic acids.",What is the formula for tribromoacetic acid?,CBrCOH
"Pharmacometabolomics | Pharmacometabolomics, also known as pharmacometabonomics, is a field which stems from metabolomics, the quantification and analysis of metabolites produced by the body. It refers to the direct measurement of metabolites in an individual’s bodily fluids, in order to predict or evaluate the metabolism of pharmaceutical compounds, and to better understand the pharmacokinetic profile of a drug. Alternatively, pharmacometabolomics can be applied to measure metabolite levels following the administration of a pharmaceutical compound, in order to monitor the effects of the compound on certain metabolic pathways(pharmacodynamics). This provides detailed mapping of drug effects on metabolism and the pathways that are implicated in mechanism of variation of response to treatment. In addition, the metabolic profile of an individual at baseline (metabotype) provides information about how individuals respond to treatment and highlights heterogeneity within a disease state. All three approaches require the quantification of metabolites found in bodily fluids and tissue, such as blood or urine, and can be used in the assessment of pharmaceutical treatment options for numerous disease states.",What type of pollution is primarily caused by the improper disposal of plastic products?,Plastic pollution
"Drug pollution | Drug pollution or pharmaceutical pollution is pollution of the environment with pharmaceutical drugs and their metabolites, which reach the aquatic environment (groundwater, rivers, lakes, and oceans) through wastewater. Drug pollution is therefore mainly a form of water pollution.",What type of pollution is caused by pharmaceutical drugs entering the water supply?,Water pollution
Trichloroacetic acid | Trichloroacetic acid (TCA; TCAA; also known as trichloroethanoic acid) is an analogue of acetic acid in which the three hydrogen atoms of the methyl group have all been replaced by chlorine atoms. Salts and esters of trichloroacetic acid are called trichloroacetates.,What type of acid is trichloroacetic acid?,Chlorinated acid
"1,1,2-Trichloroethane | 1,1,2-Trichloroethane, or 1,1,2-TCA, is an organochloride solvent with the molecular formula CHCl. It is a colourless, sweet-smelling liquid that does not dissolve in water, but is soluble in most organic solvents. It is an isomer of 1,1,1-trichloroethane.","What type of solvent is 1,1,2-Trichloroethane?",Organochloride
"Perfluorooctanoic acid | Perfluorooctanoic acid (PFOA) (conjugate base perfluorooctanoate), also known as C8, is a synthetic perfluorinated carboxylic acid and fluorosurfactant. One industrial application is as a surfactant in the emulsion polymerization of fluoropolymers. It has been used in the manufacture of such prominent consumer goods as polytetrafluoroethylene (commercially known as Teflon). PFOA has been manufactured since the 1940s in industrial quantities. It is also formed by the degradation of precursors such as some fluorotelomers.",What is the common name for perfluorooctanoic acid?,C8
"Perfluorooctanesulfonic acid | Perfluorooctanesulfonic acid (conjugate base perfluorooctanesulfonate) (PFOS) is an anthropogenic fluorosurfactant and global pollutant. PFOS was the key ingredient in Scotchgard, a fabric protector made by 3M, and numerous stain repellents. It was added to Annex B of the Stockholm Convention on Persistent Organic Pollutants in May 2009. PFOS can be synthesized in industrial production or result from the degradation of precursors. PFOS levels that have been detected in wildlife are considered high enough to affect health parameters, and recently higher serum levels of PFOS were found to be associated with increased risk of chronic kidney disease in the general US population. ""This association was independent of confounders such as age, sex, race/ethnicity, body mass index, diabetes, hypertension, and serum cholesterol level.""",What health condition has been linked to higher serum levels of PFOS?,Kidney disease
"Chlorpyrifos | Chlorpyrifos, sold under many brandnames, is an organophosphate pesticide used to kill a number of pests including insects and worms. It is used on crops, animals, and buildings. It was introduced in 1965 by Dow Chemical Company. It acts on the nervous system of insects by inhibiting acetylcholinesterase. Toxicity results in more than 10,000 human deaths a year.",What pesticide known for its toxicity was introduced in 1965?,Chlorpyrifos
"TCPy | TCPy or 3,5,6-trichloro-2-pyridinol is a metabolite of chlorpyrifos and chlorpyrifos-methyl, both organophosphate insecticides. A study in Massachusetts reported a correlation between exposure to TCPy and lower testosterone levels in men. According to this source, exposure is ""widespread"" and of ""potential public health importance"".",What is TCPy?,Insecticide metabolite
"Vulnerability of nuclear plants to attack | The vulnerability of nuclear plants to deliberate attack is of concern in the area of nuclear safety and security. Nuclear power plants, civilian research reactors, certain naval fuel facilities, uranium enrichment plants, fuel fabrication plants, and even potentially uranium mines are vulnerable to attacks which could lead to widespread radioactive contamination. The attack threat is of several general types: commando-like ground-based attacks on equipment which if disabled could lead to a reactor core meltdown or widespread dispersal of radioactivity; and external attacks such as an aircraft crash into a reactor complex, or cyber attacks.",What type of attack could lead to a reactor core meltdown?,Ground-based attack
"Uranium-232 | Uranium-232 ( U , U , U-232) is an isotope of uranium. It has a half-life of 68.9 years and is a side product in the thorium cycle. It has been cited as an obstacle to nuclear proliferation using U as the fissile material, because the intense gamma radiation emitted by Tl (a daughter of U, produced relatively quickly) makes the U contaminated with it more difficult to handle.",What isotope is cited as an obstacle to nuclear proliferation due to its intense gamma radiation?,Uranium-232
"Formaldehyde dismutase | In enzymology, a formaldehyde dismutase (EC 1.2.99.4 ) is an enzyme that catalyzes the chemical reaction","What enzyme helps detoxify formaldehyde, a common pollutant?",Formaldehyde dismutase
"Formaldehyde (song) | ""Formaldehyde"" is a song by British recording group Editors. It was released on 2 September 2013 as the second single from the band's fourth studio album, ""The Weight of Your Love"", on a 7"" vinyl and as a digital download.",What type of pollution is formaldehyde primarily associated with?,Indoor air
Diisodecyl phthalate | Diisodecyl phthalate (DIDP) is a commonly used plasticizer used in the production of plastic and plastic coating to increase flexibility. It is a mixture of compounds derived from the esterification of phthalic acid and isomeric decyl alcohols.,What type of chemical is Diisodecyl phthalate commonly classified as?,Plasticizer
"Phthalate | Phthalates ( , ), or phthalate esters, are esters of phthalic acid and are mainly used as plasticizers (substances added to plastics to increase their flexibility, transparency, durability, and longevity). Phthalates are manufactured by reacting phthalic anhydride with alcohol(s) that range from methanol and ethanol (C1/C2) up to tridecyl alcohol (C13), either as a straight chain or with some branching. They are divided into two distinct groups, with very different applications, toxicological properties, and classification, based on the number of carbon atoms in their alcohol chain. They are used primarily to soften polyvinyl chloride (PVC). Lower-molecular-weight phthalates (3-6 carbon atoms in their backbone) are being gradually replaced in many products in the United States, Canada, and European Union over health concerns. They are replaced by high-molecular-weight phthalates (those with more than 6 carbons in their backbone, which gives them increased permanency and durability). In 2010, the market was still dominated by high-phthalate plasticizers; however, due to legal provisions and growing environmental awareness and perceptions, producers are increasingly forced to use non-phthalate plasticizers.","What are the substances added to plastics to increase their flexibility and longevity, often associated with health concerns?",Phthalates
